"","Species","Oxygen","Gram","Motility","MedianGC","antimicrobial_susceptibility","optimal_temp","optimal_ph","pathogenicity"
"1077","Clostridiumsaccharoperbutylacetonicum",NA,NA,NA,NA,NA,NA,NA,NA
"1078","Clostridiumsardiniense",NA,NA,NA,NA,NA,NA,NA,NA
"1079","Clostridiumsartagoforme",NA,NA,NA,NA,NA,NA,NA,NA
"1080","Clostridiumsaudiense","Obligate anaerobe","Gram+","",NA,NA,NA,NA,NA
"1081","Clostridiumsepticum",NA,NA,NA,NA,NA,NA,NA,NA
"1082","Clostridiumsimiarum",NA,NA,NA,NA,NA,NA,NA,NA
"1083","Clostridiumsporogenes",NA,NA,NA,NA,NA,NA,NA,NA
"1084","Clostridiumsubterminale",NA,NA,NA,NA,NA,NA,NA,NA
"1085","Clostridiumsulfidigenes","Obligate anaerobe","Gram+","0",3752,NA,NA,NA,NA
"1086","Clostridiumswellfunianum",NA,NA,NA,NA,NA,NA,NA,NA
"1087","Clostridiumtarantellae",NA,NA,NA,NA,NA,NA,NA,NA
"1088","Clostridiumtepidum",NA,NA,NA,NA,NA,NA,NA,NA
"1089","Clostridiumtertium","Obligate anaerobe","Gram+","0",NA,NA,NA,NA,NA
"1090","Clostridiumthiosulfatireducens",NA,NA,NA,NA,NA,NA,NA,NA
"1091","Clostridiumtransplantifaecale",NA,NA,NA,NA,NA,NA,NA,NA
"1092","Clostridiumtunisiense",NA,NA,NA,NA,NA,NA,NA,NA
"1093","Clostridiumtyrobutyricum",NA,NA,NA,NA,NA,NA,NA,NA
"1094","Clostridiumvincentii",NA,NA,NA,NA,NA,NA,NA,NA
"1095","Clostridiumvitabionis",NA,NA,NA,NA,NA,NA,NA,NA
"1096","Clostridiumvulturis",NA,NA,NA,NA,NA,NA,NA,NA
"1097","Clostridiumweizhouense",NA,NA,NA,NA,NA,NA,NA,NA
"1098","Coenoniaanatina",NA,NA,NA,NA,NA,NA,NA,NA
"1099","Cohnellaferri",NA,NA,NA,NA,NA,NA,NA,NA
"1100","Cohnellasuwonensis",NA,NA,NA,NA,NA,NA,NA,NA
"1101","Cohnellathailandensis",NA,NA,NA,NA,NA,NA,NA,NA
"1102","Colibactermassiliensis","","Gram+","",NA,NA,NA,NA,NA
"1103","Colidextribactermassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"1104","Collimonasfungivorans",NA,NA,NA,NA,NA,NA,NA,NA
"1105","Collimonashumicola",NA,NA,NA,NA,NA,NA,NA,NA
"1106","Collimonassilvisoli",NA,NA,NA,NA,NA,NA,NA,NA
"1107","Collinsellaaerofaciens","Anaerobe","Gram+","0",NA,NA,37,NA,2
"1108","Collinsellaavium",NA,NA,NA,NA,NA,NA,NA,NA
"1109","Collinsellabouchesdurhonensis",NA,NA,NA,NA,NA,NA,NA,NA
"1110","Collinsellaihumii","","Gram+","",NA,NA,NA,NA,NA
"1111","Collinsellaintestinalis",NA,NA,NA,NA,NA,NA,NA,NA
"1112","Collinsellaphocaeensis",NA,NA,NA,NA,NA,NA,NA,NA
"1113","Collinsellaprovencensis",NA,NA,NA,NA,NA,NA,NA,NA
"1114","Collinsellastercoris",NA,NA,NA,NA,NA,NA,NA,NA
"1115","CollinsellatanakaeiYIT12063","Anaerobe","Gram+","Nonmotile",2276,NA,NA,NA,NA
"1116","Collinsellavaginalis",NA,NA,NA,NA,NA,NA,NA,NA
"1117","Colwelliapolaris",NA,NA,NA,NA,NA,NA,NA,NA
"1118","Comamonasaquaticasubsprana",NA,NA,NA,NA,NA,NA,NA,NA
"1119","Comamonasaquatilis",NA,NA,NA,NA,NA,NA,NA,NA
"1120","Comamonascomposti",NA,NA,NA,NA,NA,NA,NA,NA
"1121","Comamonasdenitrificans",NA,NA,NA,NA,NA,NA,NA,NA
"1122","Comamonasfluminis",NA,NA,NA,NA,NA,NA,NA,NA
"1123","Comamonashumi",NA,NA,NA,NA,NA,NA,NA,NA
"1124","Comamonasjiangduensis",NA,NA,NA,NA,NA,NA,NA,NA
"1125","Comamonaskerstersii",NA,NA,NA,NA,NA,NA,NA,NA
"1126","Comamonasnitrativorans",NA,NA,NA,NA,NA,NA,NA,NA
"1127","Comamonasodontotermitis",NA,NA,NA,NA,NA,NA,NA,NA
"1128","Comamonassediminis",NA,NA,NA,NA,NA,NA,NA,NA
"1129","Comamonasterrae",NA,NA,NA,NA,NA,NA,NA,NA
"1130","Comamonasterrigena","Aerobe","Gram-","0",4303,NA,NA,NA,NA
"1131","Comamonaszonglianii",NA,NA,NA,NA,NA,NA,NA,NA
"1132","Companilactobacillusallii",NA,NA,NA,NA,NA,NA,NA,NA
"1133","Companilactobacillushuachuanensis",NA,NA,NA,NA,NA,NA,NA,NA
"1134","Companilactobacillushulinensis",NA,NA,NA,NA,NA,NA,NA,NA
"1135","Companilactobacillusjidongensis",NA,NA,NA,NA,NA,NA,NA,NA
"1136","Companilactobacillusmetriopterae",NA,NA,NA,NA,NA,NA,NA,NA
"1137","Companilactobacillusmusae",NA,NA,NA,NA,NA,NA,NA,NA
"1138","Companilactobacillusnuruki",NA,NA,NA,NA,NA,NA,NA,NA
"1139","Companilactobacilluspabuli",NA,NA,NA,NA,NA,NA,NA,NA
"1140","Companilactobacillusparalimentarius",NA,NA,NA,NA,NA,NA,NA,NA
"1141","Companilactobacillustucceti",NA,NA,NA,NA,NA,NA,NA,NA
"1142","Compostimonassuwonensis",NA,NA,NA,NA,NA,NA,NA,NA
"1143","Conchiformibiuskuhniae",NA,NA,NA,NA,NA,NA,NA,NA
"1144","Congobacteriummassiliense",NA,NA,NA,NA,NA,NA,NA,NA
"1145","Congzhengiaminquanensis",NA,NA,NA,NA,NA,NA,NA,NA
"1146","Conservatibacterflavescens",NA,NA,NA,NA,NA,NA,NA,NA
"1147","Constrictifilumkaradense",NA,NA,NA,NA,NA,NA,NA,NA
"1148","Copranaerobaculumintestinale",NA,NA,NA,NA,NA,NA,NA,NA
"1149","CoprobacilluscateniformisJCM10604",NA,NA,NA,NA,NA,NA,NA,NA
"1150","CoprobacterfastidiosusNSB1","Anaerobe","Gram-","0",2841,NA,NA,NA,NA
"1151","Coprobactersecundus",NA,NA,NA,NA,NA,NA,NA,NA
"1152","Coprobactersecundussubspsimilis",NA,NA,NA,NA,NA,NA,NA,NA
"1153","Coprococcuscatus","Anaerobe","Gram+","Nonmotile",NA,0,37,6.7,NA
"1154","CoprococcuscomesATCC27758","Anaerobe","Gram+","Nonmotile",3974,NA,NA,NA,NA
"1155","Coprococcuseutactus","Anaerobe","Gram+","Nonmotile",NA,0,37,4.85,NA
"1156","Coprococcusphoceensis",NA,NA,NA,NA,NA,NA,NA,NA
"1157","Coraliomargaritaakajimensis",NA,NA,NA,NA,NA,NA,NA,NA
"1158","CoraliomargaritaakajimensisDSM45221",NA,NA,NA,NA,NA,NA,NA,NA
"1159","Coriobacteriumglomerans",NA,NA,NA,NA,NA,NA,NA,NA
"1160","Corticibacteriumpopuli",NA,NA,NA,NA,NA,NA,NA,NA
"1161","Corticimicrobacterpopuli",NA,NA,NA,NA,NA,NA,NA,NA
"1162","Corynebacteriumaccolens","Facultative anaerobe","Gram+","Nonmotile",NA,1,NA,NA,2
"1163","Corynebacteriumalimapuense",NA,NA,NA,NA,NA,NA,NA,NA
"1164","Corynebacteriumammoniagenes",NA,NA,NA,NA,NA,NA,NA,NA
"1165","Corynebacteriumamycolatum",NA,NA,NA,NA,NA,NA,NA,NA
"1166","Corynebacteriumappendicis",NA,NA,NA,NA,NA,NA,NA,NA
"1167","Corynebacteriumargentoratense","Facultative anaerobe","Gram+","Nonmotile",2073,NA,NA,NA,NA
"1168","Corynebacteriumatypicum",NA,NA,NA,NA,NA,NA,NA,NA
"1169","Corynebacteriumaurimucosum",NA,NA,NA,NA,NA,NA,NA,NA
"1170","Corynebacteriumauriscanis",NA,NA,NA,NA,NA,NA,NA,NA
"1171","Corynebacteriumbouchesdurhonense","","Gram+","",NA,NA,NA,NA,NA
"1172","CorynebacteriumbovisDSM20582CIP5480",NA,NA,NA,NA,NA,NA,NA,NA
"1173","Corynebacteriumcanis",NA,NA,NA,NA,NA,NA,NA,NA
"1174","CorynebacteriumcaseiLMGS19264","Facultative anaerobe","Gram+","Nonmotile",2872,NA,NA,NA,NA
"1175","Corynebacteriumchoanae",NA,NA,NA,NA,NA,NA,NA,NA
"1176","Corynebacteriumciconiae",NA,NA,NA,NA,NA,NA,NA,NA
"1177","Corynebacteriumcoyleae","Facultative anaerobe","Gram+","Nonmotile",2490,NA,NA,NA,NA
"1178","Corynebacteriumcrudilactis",NA,NA,NA,NA,NA,NA,NA,NA
"1179","Corynebacteriumdentalis",NA,NA,NA,NA,NA,NA,NA,NA
"1180","Corynebacteriumdurum",NA,NA,NA,NA,NA,NA,NA,NA
"1181","CorynebacteriumefficiensYS314","Facultative anaerobe","Gram+","Nonmotile",3089,NA,NA,NA,NA
"1182","Corynebacteriumendometrii",NA,NA,NA,NA,NA,NA,NA,NA
"1183","Corynebacteriumfalsenii",NA,NA,NA,NA,NA,NA,NA,NA
"1184","Corynebacteriumfournieri",NA,NA,NA,NA,NA,NA,NA,NA
"1185","CorynebacteriumfrankenforstenseDSM45800",NA,NA,NA,NA,NA,NA,NA,NA
"1186","Corynebacteriumfreneyi",NA,NA,NA,NA,NA,NA,NA,NA
"1187","Corynebacteriumgerontici",NA,NA,NA,NA,NA,NA,NA,NA
"1188","Corynebacteriumglaucum",NA,NA,NA,NA,NA,NA,NA,NA
"1189","Corynebacteriumglucuronolyticum",NA,NA,NA,NA,NA,NA,NA,NA
"1190","Corynebacteriumglutamicum",NA,NA,NA,NA,NA,NA,NA,NA
"1191","CorynebacteriumglyciniphilumAJ3170",NA,NA,NA,NA,NA,NA,NA,NA
"1192","Corynebacteriumgodavarianum",NA,NA,NA,NA,NA,NA,NA,NA
"1193","Corynebacteriumgottingense",NA,NA,NA,NA,NA,NA,NA,NA
"1194","Corynebacteriumhadale",NA,NA,NA,NA,NA,NA,NA,NA
"1195","Corynebacteriumhalotolerans",NA,NA,NA,NA,NA,NA,NA,NA
"1196","CorynebacteriumhalotoleransYIM70093DSM44683",NA,NA,NA,NA,NA,NA,NA,NA
"1197","Corynebacteriumihumii","Facultative anaerobe","Gram+","0",2192,NA,NA,NA,NA
"1198","Corynebacteriumimitans",NA,NA,NA,NA,NA,NA,NA,NA
"1199","Corynebacteriumincognita",NA,NA,NA,NA,NA,NA,NA,NA
"1200","Corynebacteriumjeikeium","Obligate aerobe","Gram+","Nonmotile",2279,1,NA,NA,2
"1201","Corynebacteriumkroppenstedtii","Facultative anaerobe","Gram+","Nonmotile",2231,1,NA,NA,NA
"1202","CorynebacteriumlactisRW25",NA,NA,NA,NA,NA,NA,NA,NA
"1203","Corynebacteriumlizhenjunii",NA,NA,NA,NA,NA,NA,NA,NA
"1204","Corynebacteriumlowii",NA,NA,NA,NA,NA,NA,NA,NA
"1205","Corynebacteriumlujinxingii",NA,NA,NA,NA,NA,NA,NA,NA
"1206","Corynebacteriummacginleyi",NA,NA,NA,NA,NA,NA,NA,NA
"1207","CorynebacteriummassilienseDSM45435",NA,NA,NA,NA,NA,NA,NA,NA
"1208","Corynebacteriummastitidis",NA,NA,NA,NA,NA,NA,NA,NA
"1209","Corynebacteriummatruchotii","Aerobe","Gram+","Nonmotile",NA,NA,37,NA,2
"1210","Corynebacteriumminutissimum",NA,NA,NA,NA,NA,NA,NA,NA
"1211","CorynebacteriummucifaciensCIP105129",NA,NA,NA,NA,NA,NA,NA,NA
"1212","Corynebacteriummycetoides",NA,NA,NA,NA,NA,NA,NA,NA
"1213","Corynebacteriumneomassiliense",NA,NA,NA,NA,NA,NA,NA,NA
"1214","CorynebacteriumnurukiS64",NA,NA,NA,NA,NA,NA,NA,NA
"1215","Corynebacteriumoccultum",NA,NA,NA,NA,NA,NA,NA,NA
"1216","Corynebacteriumoculi",NA,NA,NA,NA,NA,NA,NA,NA
"1217","Corynebacteriumpacaense",NA,NA,NA,NA,NA,NA,NA,NA
"1218","Corynebacteriumparakroppenstedtii",NA,NA,NA,NA,NA,NA,NA,NA
"1219","Corynebacteriumpelargi",NA,NA,NA,NA,NA,NA,NA,NA
"1220","Corynebacteriumpilbarense",NA,NA,NA,NA,NA,NA,NA,NA
"1221","Corynebacteriumpoyangense",NA,NA,NA,NA,NA,NA,NA,NA
"1222","Corynebacteriumpropinquum",NA,NA,NA,NA,NA,NA,NA,NA
"1223","CorynebacteriumpropinquumDSM44285","Aerobe","Gram+","0",2285,NA,NA,NA,NA
"1224","Corynebacteriumprovencense","","Gram+","",NA,NA,NA,NA,NA
"1225","Corynebacteriumpseudodiphtheriticum","Aerobe","Gram+","Nonmotile",NA,1,NA,NA,2
"1226","Corynebacteriumpseudokroppenstedtii",NA,NA,NA,NA,NA,NA,NA,NA
"1227","CorynebacteriumpyruviciproducensATCCBAA1742",NA,NA,NA,NA,NA,NA,NA,NA
"1228","Corynebacteriumqintianiae",NA,NA,NA,NA,NA,NA,NA,NA
"1229","CorynebacteriumresistensDSM45100",NA,NA,NA,NA,NA,NA,NA,NA
"1230","Corynebacteriumriegelii",NA,NA,NA,NA,NA,NA,NA,NA
"1231","Corynebacteriumrouxii",NA,NA,NA,NA,NA,NA,NA,NA
"1232","Corynebacteriumsenegalense",NA,NA,NA,NA,NA,NA,NA,NA
"1233","Corynebacteriumsilvaticum",NA,NA,NA,NA,NA,NA,NA,NA
"1234","Corynebacteriumsimulans",NA,NA,NA,NA,NA,NA,NA,NA
"1235","Corynebacteriumsingulare",NA,NA,NA,NA,NA,NA,NA,NA
"1236","Corynebacteriumspheniscorum",NA,NA,NA,NA,NA,NA,NA,NA
"1237","Corynebacteriumsputi",NA,NA,NA,NA,NA,NA,NA,NA
"1238","Corynebacteriumstationis",NA,NA,NA,NA,NA,NA,NA,NA
"1239","Corynebacteriumstriatum",NA,NA,NA,NA,NA,NA,NA,NA
"1240","Corynebacteriumsuicordis",NA,NA,NA,NA,NA,NA,NA,NA
"1241","Corynebacteriumsundsvallense",NA,NA,NA,NA,NA,NA,NA,NA
"1242","Corynebacteriumsuranareeae",NA,NA,NA,NA,NA,NA,NA,NA
"1243","Corynebacteriumterpenotabidum",NA,NA,NA,NA,NA,NA,NA,NA
"1244","Corynebacteriumthomssenii",NA,NA,NA,NA,NA,NA,NA,NA
"1245","Corynebacteriumtuberculostearicum",NA,NA,NA,NA,NA,NA,NA,NA
"1246","Corynebacteriumtuscaniense",NA,NA,NA,NA,NA,NA,NA,NA
"1247","Corynebacteriumurealyticum",NA,NA,NA,NA,NA,NA,NA,NA
"1248","CorynebacteriumurealyticumDSM7109",NA,NA,NA,NA,NA,NA,NA,NA
"1249","Corynebacteriumureicelerivorans","Anaerobe","Gram+","Nonmotile",2357,NA,NA,NA,NA
"1250","Corynebacteriumurinipleomorphum",NA,NA,NA,NA,NA,NA,NA,NA
"1251","Corynebacteriumuropygiale",NA,NA,NA,NA,NA,NA,NA,NA
"1252","Corynebacteriumvariabile","Aerobe","Gram+","Nonmotile",3039,NA,NA,NA,NA
"1253","Corynebacteriumvitaeruminis",NA,NA,NA,NA,NA,NA,NA,NA
"1254","CorynebacteriumvitaeruminisDSM20294",NA,NA,NA,NA,NA,NA,NA,NA
"1255","Corynebacteriumwankanglinii",NA,NA,NA,NA,NA,NA,NA,NA
"1256","Corynebacteriumxerosis",NA,NA,NA,NA,NA,NA,NA,NA
"1257","Crassaminicellaprofunda",NA,NA,NA,NA,NA,NA,NA,NA
"1258","Criibacteriumbergeronii",NA,NA,NA,NA,NA,NA,NA,NA
"1259","Croceibacteratlanticus",NA,NA,NA,NA,NA,NA,NA,NA
"1260","Cronobacterdublinensis",NA,NA,NA,NA,NA,NA,NA,NA
"1261","Cronobacterdublinensissubsplausannensis",NA,NA,NA,NA,NA,NA,NA,NA
"1262","Cronobactermalonaticus",NA,NA,NA,NA,NA,NA,NA,NA
"1263","Cronobactermuytjensii",NA,NA,NA,NA,NA,NA,NA,NA
"1264","CronobactermuytjensiiATCC51329",NA,NA,NA,NA,NA,NA,NA,NA
"1265","Cronobactersakazakii",NA,NA,NA,NA,NA,NA,NA,NA
"1266","Cronobacterturicensisz3032",NA,NA,NA,NA,NA,NA,NA,NA
"1267","Cronobacteruniversalis",NA,NA,NA,NA,NA,NA,NA,NA
"1268","Cruoricaptorignavus",NA,NA,NA,NA,NA,NA,NA,NA
"1269","Cryobacteriumaureum",NA,NA,NA,NA,NA,NA,NA,NA
"1270","Cryobacteriummelibiosiphilum",NA,NA,NA,NA,NA,NA,NA,NA
"1271","Cryobacteriumruanii",NA,NA,NA,NA,NA,NA,NA,NA
"1272","Cryobacteriumsoli",NA,NA,NA,NA,NA,NA,NA,NA
"1273","Cryobacteriumzongtaii",NA,NA,NA,NA,NA,NA,NA,NA
"1274","Cryptobacteriumcurtum",NA,NA,NA,NA,NA,NA,NA,NA
"1275","Culicoidibacterlarvae",NA,NA,NA,NA,NA,NA,NA,NA
"1276","Culturomicamassiliensis","","Gram-","",NA,NA,NA,NA,NA
"1277","Cuneatibactercaecimuris","Anaerobe","Gram+","0",3308,NA,NA,NA,NA
"1278","Cupidesulfovibriooxamicus",NA,NA,NA,NA,NA,NA,NA,NA
"1279","Cupriavidusagavae",NA,NA,NA,NA,NA,NA,NA,NA
"1280","Cupriavidusbasilensis",NA,NA,NA,NA,NA,NA,NA,NA
"1281","Cupriaviduslacunae",NA,NA,NA,NA,NA,NA,NA,NA
"1282","Cupriavidusmetallidurans",NA,NA,NA,NA,NA,NA,NA,NA
"1283","CupriavidusmetalliduransCH34","Aerobe","Gram-","Motile",6430,NA,NA,NA,NA
"1284","Cupriavidusnecator",NA,NA,NA,NA,NA,NA,NA,NA
"1285","CupriavidusnumazuensisNBRC100056",NA,NA,NA,NA,NA,NA,NA,NA
"1286","Cupriavidusoxalaticus",NA,NA,NA,NA,NA,NA,NA,NA
"1287","CupriavidusoxalaticusNBRC13593",NA,NA,NA,NA,NA,NA,NA,NA
"1288","Curtobacteriumgossypii",NA,NA,NA,NA,NA,NA,NA,NA
"1289","Curtobacteriumoceanosedimentum",NA,NA,NA,NA,NA,NA,NA,NA
"1290","Curtobacteriumoryzae",NA,NA,NA,NA,NA,NA,NA,NA
"1291","Curvibacterdelicatus",NA,NA,NA,NA,NA,NA,NA,NA
"1292","Curvibactergracilis",NA,NA,NA,NA,NA,NA,NA,NA
"1293","Cutibacteriumacnes","Anaerobe","Gram+","0",NA,NA,NA,NA,NA
"1294","Cutibacteriumacnessubspelongatum",NA,NA,NA,NA,NA,NA,NA,NA
"1295","CutibacteriumavidumATCC25577","Anaerobe","Gram+","Nonmotile",2396,NA,NA,NA,NA
"1296","CutibacteriumgranulosumDSM20700","Anaerobe","Gram+","Nonmotile",1959,NA,NA,NA,NA
"1297","Cutibacteriumnamnetense","Anaerobe","Gram+","Nonmotile",2239,NA,NA,NA,NA
"1298","Cutibacteriumporci",NA,NA,NA,NA,NA,NA,NA,NA
"1299","CyanobiumgracilePCC6307",NA,NA,NA,NA,NA,NA,NA,NA
"1300","Cyanocohniellacalida",NA,NA,NA,NA,NA,NA,NA,NA
"1301","Cyanocohniellacrotaloides",NA,NA,NA,NA,NA,NA,NA,NA
"1302","Cyanocohniellarudolphia",NA,NA,NA,NA,NA,NA,NA,NA
"1303","Cylindrospermumstagnale",NA,NA,NA,NA,NA,NA,NA,NA
"1304","CylindrospermumstagnalePCC7417",NA,NA,NA,NA,NA,NA,NA,NA
"1305","Cymatolegeisodiametrica",NA,NA,NA,NA,NA,NA,NA,NA
"1306","Cytobacillusfirmus",NA,NA,NA,NA,NA,NA,NA,NA
"1307","Cytobacillusformosensis",NA,NA,NA,NA,NA,NA,NA,NA
"1308","Cytobacillushorneckiae",NA,NA,NA,NA,NA,NA,NA,NA
"1309","Cytobacilluskochii",NA,NA,NA,NA,NA,NA,NA,NA
"1310","Cytobacillusoceanisediminis",NA,NA,NA,NA,NA,NA,NA,NA
"1311","Daeguiacaeni",NA,NA,NA,NA,NA,NA,NA,NA
"1312","Daejeonellacomposti",NA,NA,NA,NA,NA,NA,NA,NA
"1313","Daejeonellahuanghensis",NA,NA,NA,NA,NA,NA,NA,NA
"1314","Dakarellamassiliensis","0","Gram-","0",2244,NA,NA,NA,NA
"1315","Dapispleousa",NA,NA,NA,NA,NA,NA,NA,NA
"1316","Dawidiacretensis",NA,NA,NA,NA,NA,NA,NA,NA
"1317","Dechloromonasagitata",NA,NA,NA,NA,NA,NA,NA,NA
"1318","DeferrisomacaminiS3R1",NA,NA,NA,NA,NA,NA,NA,NA
"1319","Defluviimonasnitratireducens",NA,NA,NA,NA,NA,NA,NA,NA
"1320","Defluviitalearaffinosedens",NA,NA,NA,NA,NA,NA,NA,NA
"1321","Defluviitaleasaccharophila",NA,NA,NA,NA,NA,NA,NA,NA
"1322","DehalobacterrestrictusDSM9455",NA,NA,NA,NA,NA,NA,NA,NA
"1323","Dehalobacteriumformicoaceticum","Anaerobe","Gram+","0",3698,NA,NA,NA,NA
"1324","Deinococcusgeothermalis",NA,NA,NA,NA,NA,NA,NA,NA
"1325","Delftiaacidovorans",NA,NA,NA,NA,NA,NA,NA,NA
"1326","Delftialacustris",NA,NA,NA,NA,NA,NA,NA,NA
"1327","Delftialitopenaei",NA,NA,NA,NA,NA,NA,NA,NA
"1328","Delftiatsuruhatensis",NA,NA,NA,NA,NA,NA,NA,NA
"1329","Dellaglioaalgida","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"1330","Demequinaaestuarii",NA,NA,NA,NA,NA,NA,NA,NA
"1331","Dendrosporobacterquercicolus",NA,NA,NA,NA,NA,NA,NA,NA
"1332","Denitrobacteriumdetoxificans",NA,NA,NA,NA,NA,NA,NA,NA
"1333","Denitrobaculumtricleocarpae",NA,NA,NA,NA,NA,NA,NA,NA
"1334","Dermabacterhominis",NA,NA,NA,NA,NA,NA,NA,NA
"1335","Dermabacterjinjuensis",NA,NA,NA,NA,NA,NA,NA,NA
"1336","Dermabactervaginalis",NA,NA,NA,NA,NA,NA,NA,NA
"1337","Desertimonasflava",NA,NA,NA,NA,NA,NA,NA,NA
"1338","DesulfallasthermosapovoransDSM6562",NA,NA,NA,NA,NA,NA,NA,NA
"1339","Desulfatiferulaolefinivorans",NA,NA,NA,NA,NA,NA,NA,NA
"1340","Desulfitibacteralkalitolerans",NA,NA,NA,NA,NA,NA,NA,NA
"1341","Desulfitisporaalkaliphila",NA,NA,NA,NA,NA,NA,NA,NA
"1342","Desulfitisporaelongata",NA,NA,NA,NA,NA,NA,NA,NA
"1343","Desulfitobacteriumchlororespirans",NA,NA,NA,NA,NA,NA,NA,NA
"1344","Desulfitobacteriumdehalogenans",NA,NA,NA,NA,NA,NA,NA,NA
"1345","DesulfitobacteriumhafnienseDCB2","Anaerobe","Gram+","Motile",5042,NA,NA,NA,NA
"1346","Desulfitobacteriummetallireducens",NA,NA,NA,NA,NA,NA,NA,NA
"1347","Desulfobotulusalkaliphilus",NA,NA,NA,NA,NA,NA,NA,NA
"1348","Desulfobotulusmexicanus",NA,NA,NA,NA,NA,NA,NA,NA
"1349","Desulfobotulussapovorans",NA,NA,NA,NA,NA,NA,NA,NA
"1350","Desulfobulbuselongatus",NA,NA,NA,NA,NA,NA,NA,NA
"1351","Desulfobulbusoligotrophicus",NA,NA,NA,NA,NA,NA,NA,NA
"1352","Desulfocapsathiozymogenes",NA,NA,NA,NA,NA,NA,NA,NA
"1353","Desulfocucumispalustris",NA,NA,NA,NA,NA,NA,NA,NA
"1354","Desulfofarcimenacetoxidans",NA,NA,NA,NA,NA,NA,NA,NA
"1355","DesulfofarcimenacetoxidansDSM771",NA,NA,NA,NA,NA,NA,NA,NA
"1356","Desulfoferrobactersuflitae",NA,NA,NA,NA,NA,NA,NA,NA
"1357","DesulfofundulusaustralicusDSM11792",NA,NA,NA,NA,NA,NA,NA,NA
"1358","Desulfofundulusthermocisternus",NA,NA,NA,NA,NA,NA,NA,NA
"1359","DesulfofundulusthermocisternusDSM10259",NA,NA,NA,NA,NA,NA,NA,NA
"1360","Desulfogranummarinum",NA,NA,NA,NA,NA,NA,NA,NA
"1361","Desulfogranummediterraneum",NA,NA,NA,NA,NA,NA,NA,NA
"1362","Desulfohalotomaculumhalophilum",NA,NA,NA,NA,NA,NA,NA,NA
"1363","Desulfohalovibrioreitneri",NA,NA,NA,NA,NA,NA,NA,NA
"1364","Desulfolucanicaintricata",NA,NA,NA,NA,NA,NA,NA,NA
"1365","DesulfolunabutyratoxydansDSM19427",NA,NA,NA,NA,NA,NA,NA,NA
"1366","Desulfolunaspongiiphila",NA,NA,NA,NA,NA,NA,NA,NA
"1367","DesulfomoniletiedjeiDSM6799",NA,NA,NA,NA,NA,NA,NA,NA
"1368","Desulfonatronovibriomagnus",NA,NA,NA,NA,NA,NA,NA,NA
"1369","Desulfonatronovibriothiodismutans",NA,NA,NA,NA,NA,NA,NA,NA
"1370","Desulfonemaishimotonii",NA,NA,NA,NA,NA,NA,NA,NA
"1371","DesulfonemalimicolastrJadebusen",NA,NA,NA,NA,NA,NA,NA,NA
"1372","Desulfonisporathiosulfatigenes",NA,NA,NA,NA,NA,NA,NA,NA
"1373","Desulfoplanesformicivorans",NA,NA,NA,NA,NA,NA,NA,NA
"1374","Desulforadiustongensis",NA,NA,NA,NA,NA,NA,NA,NA
"1375","Desulforamulushydrothermalis",NA,NA,NA,NA,NA,NA,NA,NA
"1376","Desulforamulusprofundi",NA,NA,NA,NA,NA,NA,NA,NA
"1377","Desulforamulusruminis",NA,NA,NA,NA,NA,NA,NA,NA
"1378","DesulforamulusruminisDSM2154",NA,NA,NA,NA,NA,NA,NA,NA
"1379","DesulfoscipiogibsoniaeDSM7213",NA,NA,NA,NA,NA,NA,NA,NA
"1380","Desulfosporosinusacididurans",NA,NA,NA,NA,NA,NA,NA,NA
"1381","DesulfosporosinusacidiphilusSJ4",NA,NA,NA,NA,NA,NA,NA,NA
"1382","Desulfosporosinusauripigmenti",NA,NA,NA,NA,NA,NA,NA,NA
"1383","Desulfosporosinusfructosivorans",NA,NA,NA,NA,NA,NA,NA,NA
"1384","Desulfosporosinusmetallidurans",NA,NA,NA,NA,NA,NA,NA,NA
"1385","Desulfosporosinusnitroreducens",NA,NA,NA,NA,NA,NA,NA,NA
"1386","DesulfosporosinusorientisDSM765",NA,NA,NA,NA,NA,NA,NA,NA
"1387","Desulfotomaculumdefluvii",NA,NA,NA,NA,NA,NA,NA,NA
"1388","Desulfotomaculumvarum",NA,NA,NA,NA,NA,NA,NA,NA
"1389","DesulfotruncusarcticusDSM17038",NA,NA,NA,NA,NA,NA,NA,NA
"1390","Desulfovibriocuneatus",NA,NA,NA,NA,NA,NA,NA,NA
"1391","Desulfovibriodesulfuricans",NA,NA,NA,NA,NA,NA,NA,NA
"1392","Desulfovibriointestinalis",NA,NA,NA,NA,NA,NA,NA,NA
"1393","Desulfovibriolacusfryxellense",NA,NA,NA,NA,NA,NA,NA,NA
"1394","Desulfovibriolegallii","Anaerobe","Gram-","0",2351,NA,NA,NA,NA
"1395","Desulfovibriopiger",NA,NA,NA,NA,NA,NA,NA,NA
"1396","Desulfovibrioporci",NA,NA,NA,NA,NA,NA,NA,NA
"1397","Desulfovibriosimplex",NA,NA,NA,NA,NA,NA,NA,NA
"1398","Desulfovibriovulgaris",NA,NA,NA,NA,NA,NA,NA,NA
"1399","DesulfovibriovulgarisstrHildenborough",NA,NA,NA,NA,NA,NA,NA,NA
"1400","Desulfovirgaadipica",NA,NA,NA,NA,NA,NA,NA,NA
"1401","Desulfurellaacetivorans",NA,NA,NA,NA,NA,NA,NA,NA
"1402","DesulfurellaacetivoransA63",NA,NA,NA,NA,NA,NA,NA,NA
